images	prices	screens	os	front_cams	back_cams	cpus	rams	memories	batteries	urls	companies	release_date
https://cdn.tgdd.vn/Products/Images/42/207641/samsung-galaxy-a50s-green-400x460.png	6.990.000₫	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	32 MP	Chính 48 MP & Phụ 8 MP, 5 MP	Exynos 9610 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a50s	samsung	09/2019
https://cdn.tgdd.vn/Products/Images/42/196963/samsung-galaxy-a50-black-1-400x460.png	6.990.000₫	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	25 MP	Chính 25 MP & Phụ 8 MP, 5 MP	Exynos 9610 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a50	samsung	03/2019
https://cdn.tgdd.vn/Products/Images/42/202028/oppo-a9-white-2-400x460.png	6.990.000₫	TFT, 6.5", HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 665 8 nhân	8 GB	128 GB	5000 mAh	/dtdd/oppo-a9	oppo	09/2019
https://cdn.tgdd.vn/Products/Images/42/111107/samsung-galaxy-a7-2018-blue-400x460.png	6.990.000₫	Super AMOLED, 6.0", Full HD+	Android 8.0 (Oreo)	24 MP	Chính 24 MP & Phụ 8 MP, 5 MP	Exynos 7885 8 nhân 64-bit	4 GB	64 GB	3300 mAh	/dtdd/samsung-galaxy-a7-2018	samsung	10/2018
https://cdn.tgdd.vn/Products/Images/42/202863/oppo-k3-black-400x460.png	6.990.000₫	AMOLED, 6.5", Full HD+	Android 9.0 (Pie)	16 MP	Chính 16 MP & Phụ 2 MP	Snapdragon 710 8 nhân 64-bit	6 GB	64 GB	3765 mAh, có sạc nhanh	/dtdd/oppo-k3	oppo	08/2019
https://cdn.tgdd.vn/Products/Images/42/211163/realme-5-pro-8gb-green-400x460.png	6.990.000₫	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 712 8 nhân 64-bit	8 GB	128 GB	4035 mAh, có sạc nhanh	/dtdd/realme-5-pro-8gb	realme	10/2019
https://cdn.tgdd.vn/Products/Images/42/194834/blackberry-keyone-3gb-400x460.png	6.990.000₫	IPS LCD, 4.5", Full HD	Android 7.1 (Nougat)	8 MP	12 MP	Snapdragon 625 8 nhân 64-bit	3 GB	32 GB	3505 mAh, có sạc nhanh	/dtdd/blackberry-keyone-3gb-32gb	blackberry	11/2018
https://cdn.tgdd.vn/Products/Images/42/199756/blackberry-evolve-black-400x460.png	6.990.000₫	IPS LCD, 5.99", Full HD+	Android 8.1 (Oreo)	16 MP	Chính 13 MP & Phụ 13 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/blackberry-evolve	blackberry	02/2019
https://cdn.tgdd.vn/Products/Images/42/198985/huawei-p30-lite-400x460.png	6.020.000₫	IPS LCD, 6.15", Full HD+	Android 9.0 (Pie)	32 MP	Chính 24 MP & Phụ 8 MP, 2 MP	HiSilicon Kirin 710	6 GB	128 GB	3340 mAh, có sạc nhanh	/dtdd/huawei-p30-lite	huawei	03/2019
https://cdn.tgdd.vn/Products/Images/42/214418/xiaomi-redmi-note-8-pro-6gb-128gb-black-400x460.png	6.490.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	20 MP	Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP	Mediatek Helio G90T 8 nhân	6 GB	128 GB	4500 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8-pro-6gb-128gb	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/214816/xiaomi-redmi-note-8-pro-6gb-128gb-xanh-duong-400x460.png	6.490.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	20 MP	Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP	Mediatek Helio G90T 8 nhân	6 GB	128 GB	4500 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8-pro-6gb-128gb-xanh-duong	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/204403/samsung-galaxy-a30s-green-400x460.png	6.290.000₫	Super AMOLED, 6.4", HD+	Android 9.0 (Pie)	16 MP	Chính 25 MP & Phụ 8 MP, 5 MP	Exynos 7904 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a30s	samsung	09/2019
https://cdn.tgdd.vn/Products/Images/42/207650/nokia-72-black-400x460.png	6.190.000₫	IPS LCD, 6.3", Full HD+	Android 9 Pie (Android One)	20 MP	Chính 48 MP & Phụ 8 MP, 5 MP	Snapdragon 660 8 nhân	4 GB	64 GB	3500 mAh	/dtdd/nokia-72	nokia	09/2019
https://cdn.tgdd.vn/Products/Images/42/209797/xiaomi-redmi-note-8-pro-white-1-400x460.png	5.990.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	20 MP	Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP	Mediatek Helio G90T 8 nhân	6 GB	64 GB	4500 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8-pro	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/209564/realme-5-pro-purple-400x460.png	5.990.000₫	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 712 8 nhân	4 GB	128 GB	4035 mAh, có sạc nhanh	/dtdd/realme-5-pro	realme	10/2019
https://cdn.tgdd.vn/Products/Images/42/194955/realme-3-pro-blue-400x460.png	4.590.000₫	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	25 MP	Chính 16 MP & Phụ 5 MP	Snapdragon 710 8 nhân	4 GB	64 GB	4045 mAh, có sạc nhanh	/dtdd/realme-3-pro	realme	06/2019
https://cdn.tgdd.vn/Products/Images/42/214815/xiaomi-redmi-note-8-pro-6gb-64gb-xanh-duong-400x460.png	5.990.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	20 MP	Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP	Mediatek Helio G90T 8 nhân	6 GB	64 GB	4500 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8-pro-6gb-64gb-xanh-duong	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/179673/huawei-nova-3i-purple-400x460.png	5.390.000₫	LTPS LCD, 6.3", Full HD+	Android 8.1 (Oreo)	Chính 24 MP & Phụ 2 MP	Chính 16 MP & Phụ 2 MP	HiSilicon Kirin 710	4 GB	128 GB	3340 mAh	/dtdd/huawei-nova-3i	huawei	07/2018
https://cdn.tgdd.vn/Products/Images/42/198413/samsung-galaxy-a30-blue-400x460.png	5.790.000₫	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	16 MP	Chính 16 MP & Phụ 5 MP	Exynos 7904 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a30	samsung	03/2019
https://cdn.tgdd.vn/Products/Images/42/212374/xiaomi-redmi-note-8-128gb-black-400x460.png	5.490.000₫	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	13 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Qualcomm Snapdragon 665 8 nhân	4 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8-128gb	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/202268/huawei-y9-prime-2019-blue-400x460.png	5.490.000₫	LTPS LCD, 6.59", Full HD+	Android 9.0 (Pie)	16 MP	Chính 16 MP & Phụ 8 MP, 2 MP	HiSilicon Kirin 710F 8 nhân	4 GB	128 GB	4000 mAh	/dtdd/huawei-y9-prime-2019	huawei	06/2019
https://cdn.tgdd.vn/Products/Images/42/202033/vivo-v15-64gb-red-400x460.png	5.490.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	32 MP	Chính 12 MP & Phụ 8 MP, 5 MP	MediaTek Helio P70 8 nhân	6 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/vivo-v15-64gb	vivo	03/2019
https://cdn.tgdd.vn/Products/Images/42/204404/samsung-galaxy-a20s-black-docquyen-400x460.png	5.390.000₫	IPS LCD, 6.5", HD+	Android 9.0 (Pie)	8 MP	Chính 13 MP & Phụ 8 MP, 5 MP	Snapdragon 450 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a20s	samsung	10/2019
https://cdn.tgdd.vn/Products/Images/42/212116/oppo-a5-2020-128gb-black-400x460.png	5.290.000₫	TFT, 6.5", HD+	Android 9.0 (Pie)	8 MP	Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 665 8 nhân	4 GB	128 GB	5000 mAh	/dtdd/oppo-a5-2020-128gb	oppo	10/2019
https://cdn.tgdd.vn/Products/Images/42/209535/xiaomi-redmi-note-8-white-18thangbh-400x460.png	4.990.000₫	IPS LCD, 6.3", Full HD+	Android 9.0 (Pie)	13 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Qualcomm Snapdragon 665 8 nhân	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-note-8	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/204651/vivo-y19-white-quanghai-400x460.png	4.990.000₫	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	16 MP	Chính 16 MP & Phụ 8 MP, 2 MP	MediaTek MT6768 8 nhân (Helio P65)	6 GB	128 GB	5000 mAh, có sạc nhanh	/dtdd/vivo-y19	vivo	11/2019
