images	prices	screens	os	front_cams	back_cams	cpus	rams	memories	batteries	urls	companies	release_date
https://cdn.tgdd.vn/Products/Images/42/205773/samsung-galaxy-a10s-green-400x460.png	3.690.000₫	IPS TFT, 6.2", HD+	Android 9.0 (Pie)	8 MP	Chính 13 MP & Phụ 2 MP	MediaTek MT6762 8 nhân 64-bit (Helio P22)	2 GB	32 GB	4000 mAh	/dtdd/samsung-galaxy-a10s	samsung	08/2019
https://cdn.tgdd.vn/Products/Images/42/200330/oppo-a5s-red-400x460.png	3.690.000₫	IPS LCD, 6.2", HD+	Android 8.1 (Oreo)	8 MP	Chính 13 MP & Phụ 2 MP	MediaTek Helio P35 8 nhân 64-bit	3 GB	32 GB	4230 mAh	/dtdd/oppo-a5s	oppo	05/2019
https://cdn.tgdd.vn/Products/Images/42/198167/xiaomi-redmi-7-black-18thangbh-400x460.png	3.290.000₫	IPS LCD, 6.26", HD+	Android 9.0 (Pie)	8 MP	Chính 12 MP & Phụ 2 MP	Qualcomm Snapdragon 632 8 nhân 64-bit	3 GB	32 GB	4000 mAh	/dtdd/xiaomi-redmi-7	xiaomi	03/2019
https://cdn.tgdd.vn/Products/Images/42/212212/xiaomi-redmi-8-64gb-red-400x460.png	3.590.000₫	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	8 MP	Chính 12 MP & Phụ 2 MP	Qualcomm Snapdragon 439 8 nhân 64-bit	4 GB	64 GB	5000 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-8-64gb	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/203619/vivo-y12-red-400x460.png	3.590.000₫	IPS LCD, 6.35", HD+	Android 9.0 (Pie)	8 MP	Chính 13 MP & Phụ 8 MP, 2 MP	MediaTek MT6762 8 nhân 64-bit (Helio P22)	3 GB	64 GB	5000 mAh	/dtdd/vivo-y12	vivo	08/2019
https://cdn.tgdd.vn/Products/Images/42/208847/vsmart-live-blue-18thangbh-1-400x460.png	3.490.000₫	AMOLED, 6.2", Full HD+	Android 9.0 (Pie)	20 MP	Chính 48 MP & Phụ 8 MP, 5 MP	Snapdragon 675 8 nhân 64-bit	4 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/vsmart-live	vsmart	08/2019
https://cdn.tgdd.vn/Products/Images/42/197205/huawei-y7-pro-2019-400x460.png	3.140.000₫	IPS LCD, 6.26", HD+	Android 8.1 (Oreo)	16 MP	Chính 13 MP & Phụ 2 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	3 GB	32 GB	4000 mAh	/dtdd/huawei-y7-pro-2019	huawei	12/2018
https://cdn.tgdd.vn/Products/Images/42/196142/vivo-y91-black-400x460.png	3.490.000₫	IPS LCD, 6.22", HD+	Android 8.1 (Oreo)	8 MP	Chính 13 MP & Phụ 2 MP	MediaTek MT6762R 8 nhân	3 GB	64 GB	4030 mAh	/dtdd/vivo-y91	vivo	12/2018
https://cdn.tgdd.vn/Products/Images/42/179472/nokia-51-plus-black-400x460.png	3.290.000₫	IPS LCD, 5.8", HD+	Android 8 Oreo (Android One)	8 MP	Chính 13 MP & Phụ 5 MP	MediaTek Helio P60 8 nhân 64-bit	3 GB	32 GB	3060 mAh, có sạc nhanh	/dtdd/nokia-51-plus	nokia	10/2018
https://cdn.tgdd.vn/Products/Images/42/199977/nokia-32-black-400x460.png	3.290.000₫	IPS LCD, 6.2", HD+	Android 9 Pie (Android One)	5 MP	13 MP	Qualcomm Snapdragon 429 4 nhân 64-bit	3 GB	32 GB	4000 mAh	/dtdd/nokia-32	nokia	05/2019
https://cdn.tgdd.vn/Products/Images/42/200485/oppo-a1k-red-400x460.png	2.990.000₫	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	5 MP	8 MP	MediaTek MT6762R 8 nhân	2 GB	32 GB	4000 mAh	/dtdd/oppo-a1k	oppo	05/2019
https://cdn.tgdd.vn/Products/Images/42/197512/samsung-galaxy-a10-red-400x460.png	3.090.000₫	IPS LCD, 6.2", HD+	Android 9.0 (Pie)	5 MP	13 MP	Exynos 7884 8 nhân	2 GB	32 GB	3400 mAh	/dtdd/samsung-galaxy-a10	samsung	04/2019
https://cdn.tgdd.vn/Products/Images/42/212357/vivo-y11-blue-400x460.png	2.990.000₫	IPS LCD, 6.35", HD+	Android 9.0 (Pie)	8 MP	Chính 13 MP & Phụ 2 MP	Snapdragon 439 8 nhân	3 GB	32 GB	5000 mAh	/dtdd/vivo-y11	vivo	10/2019
https://cdn.tgdd.vn/Products/Images/42/209796/xiaomi-redmi-8-blue-docquyen-400x460.png	2.990.000₫	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	8 MP	Chính 12 MP & Phụ 2 MP	Snapdragon 439 8 nhân	3 GB	32 GB	5000 mAh, có sạc nhanh	/dtdd/xiaomi-redmi-8	xiaomi	10/2019
https://cdn.tgdd.vn/Products/Images/42/200599/xiaomi-redmi-7-16gb-blue-18thangbh-400x460.png	2.690.000₫	IPS LCD, 6.26", HD+	Android 9.0 (Pie)	8 MP	Chính 12 MP & Phụ 2 MP	Qualcomm Snapdragon 632 8 nhân 64-bit	2 GB	16 GB	4000 mAh	/dtdd/xiaomi-redmi-7-16gb	xiaomi	03/2019
https://cdn.tgdd.vn/Products/Images/42/201385/realme-c2-new-blue-400x460.png	2.990.000₫	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	5 MP	Chính 13 MP & Phụ 2 MP	MediaTek MT6762 8 nhân (Helio P22)	3 GB	32 GB	4000 mAh	/dtdd/realme-c2	realme	06/2019
https://cdn.tgdd.vn/Products/Images/42/199083/vivo-y91c-400x460.png	2.390.000₫	IPS LCD, 6.22", HD+	Android 8.1 (Oreo)	5 MP	13 MP	MediaTek MT6762R 8 nhân	2 GB	32 GB	4030 mAh	/dtdd/vivo-y91c	vivo	03/2019
https://cdn.tgdd.vn/Products/Images/42/209555/vsmart-joy-2-plus-2gb-blue-18thangbh-400x460.png	2.190.000₫	IPS LCD, 6.2", HD+	Android 9.0 (Pie)	8 MP	Chính 13 MP & Phụ 5 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	2 GB	32 GB	4500 mAh, có sạc nhanh	/dtdd/vsmart-joy-2-plus-2gb	vsmart	08/2019
